round,cycle,prefix,ok,chi_1(321),chi_2(321),psi(320),hash,CC,unexplained,overmodeled,dFo_voxels,dFc_voxels,ttl_voxels,reason
0,0,rc_0_0_0,True,62.755093703854314,-42.647771357409695,144.75853288201392,291520127773445369837908609964678922284,,,,,,,dark
1,1,rc_-1600_400_-64,True,-97.24490629614573,-2.6477713574098356,140.02688136341638,278129135253917177825276531314023939105,0.6327,788.0,44.0,1120.0,376.0,3225600.0,
1,2,rc_0_1600_-32,True,-97.21808932881851,157.28374833303357,137.57309238850772,135318427952055403554868286880905244914,0.6349,776.0,68.0,1104.0,396.0,3225600.0,
1,3,rc_0_0_0,True,-97.19326921533589,157.29886998731916,137.56643588832884,135318427952055403554868286880905244914,0.6349,776.0,68.0,1104.0,396.0,3225600.0,strict maxima
2,4,rc_200_0_-16,True,-77.19326921533597,157.29886998731922,136.3054077186349,307315738201983576445084515638998631436,0.6432,792.0,48.0,1120.0,376.0,3225600.0,
2,5,rc_0_0_0,True,-77.19103251108339,157.23903615621347,136.28634805171708,307315738201983576445084515638998631436,0.6432,792.0,48.0,1120.0,376.0,3225600.0,strict maxima
3,6,rc_-100_200_0,True,-87.19103251108342,177.23903615621347,136.28634805171708,84757472196633100437679886411019920141,0.6528,772.0,44.0,1104.0,376.0,3225600.0,
3,7,rc_0_0_0,True,-87.18898449298797,177.24379814025878,136.28634805171708,84757472196633100437679886411019920141,0.6528,772.0,44.0,1104.0,376.0,3225600.0,strict maxima
4,8,rc_0_0_0,True,-87.18898449298797,177.24379814025878,136.28634805171708,84757472196633100437679886411019920141,0.6528,772.0,44.0,1104.0,376.0,3225600.0,strict maxima
5,9,rc_0_0_0,True,-87.18898449298797,177.24379814025878,136.28634805171708,84757472196633100437679886411019920141,0.6528,772.0,44.0,1104.0,376.0,3225600.0,strict maxima
6,10,rc_-12_24_1,True,-88.38898449298803,179.64379814025708,136.36580321528672,282577392850284862923083344285901432524,0.6579,756.0,44.0,1096.0,384.0,3225600.0,
6,11,rc_0_0_0,True,-88.35619834920873,179.65800976312,136.35636221198493,282577392850284862923083344285901432524,0.6579,756.0,44.0,1096.0,384.0,3225600.0,strict maxima
7,12,rc_0_0_0,True,-88.35619834920873,179.65800976312,136.35636221198493,282577392850284862923083344285901432524,0.6579,756.0,44.0,1096.0,384.0,3225600.0,plateau
8,13,rc_3_0_-2,True,-88.05619834920863,179.65800976312,136.19735488477218,174669867270083189435809173696089759388,0.658,756.0,44.0,1096.0,384.0,3225600.0,
8,14,rc_0_0_0,True,-88.04378863000764,179.68143307969774,136.18025226711242,174669867270083189435809173696089759388,0.658,756.0,44.0,1096.0,384.0,3225600.0,strict maxima
9,15,rc_0_0_0,True,-88.04378863000764,179.68143307969774,136.18025226711242,174669867270083189435809173696089759388,0.658,756.0,44.0,1096.0,384.0,3225600.0,plateau
