round,cycle,prefix,ok,chi_1(384),chi_2(384),chi_3(384),hash,CC,unexplained,overmodeled,dFo_voxels,dFc_voxels,ttl_voxels,reason
0,0,rc_0_0_0,True,179.98490090927604,164.95911364948228,-32.15401383565026,291520127773445369837908609964678922284,,,,,,,dark
1,1,rc_1200_600_0,True,-60.01509909072012,-135.0408863505177,-32.15401383565034,119632552713320212047224355326054454286,0.3967,184.0,304.0,328.0,448.0,3225600.0,
1,2,rc_0_0_0,True,-60.01857946683693,-135.0362918934842,-32.113474920059886,119632552713320212047224355326054454286,0.3967,184.0,304.0,328.0,448.0,3225600.0,strict maxima
2,3,rc_0_0_0,True,-60.01857946683693,-135.0362918934842,-32.113474920059886,119632552713320212047224355326054454286,0.3967,184.0,304.0,328.0,448.0,3225600.0,strict maxima
3,4,rc_150_300_-300,True,-45.01857946683695,-105.0362918934842,-62.1134749200598,286027312350735784905107588137222019573,0.4312,132.0,308.0,280.0,456.0,3225600.0,
3,5,rc_0_0_0,True,-45.033615992741716,-105.01514452590227,-62.182490036527184,286027312350735784905107588137222019573,0.4312,132.0,308.0,280.0,456.0,3225600.0,strict maxima
4,6,rc_-75_-75_225,True,-52.53361599274169,-112.51514452590226,-39.682490036527206,117944353470968030847851148703987473583,0.4371,140.0,308.0,296.0,464.0,3225600.0,
4,7,rc_0_0_0,True,-52.53535811196213,-112.5179445193706,-39.670704850574225,117944353470968030847851148703987473583,0.4371,140.0,308.0,296.0,464.0,3225600.0,strict maxima
5,8,rc_-37_-74_-37,True,-56.23535811196214,-119.91794451937061,-43.37070485057418,207398348630145110511203487409520311405,0.4403,156.0,280.0,312.0,436.0,3225600.0,
5,9,rc_0_0_0,True,-56.227683096504535,-119.918941475951,-43.36305865126784,207398348630145110511203487409520311405,0.4403,156.0,280.0,312.0,436.0,3225600.0,strict maxima
6,10,rc_36_54_-54,True,-52.62768309650455,-114.51894147595105,-48.76305865126783,58139134296105942239449566105749437518,0.4456,140.0,296.0,300.0,456.0,3225600.0,
6,11,rc_0_0_0,True,-52.63499632600187,-114.52717504743232,-48.74488531172444,58139134296105942239449566105749437518,0.4456,140.0,296.0,300.0,456.0,3225600.0,strict maxima
7,12,rc_9_-9_-9,True,-51.734996326001855,-115.42717504743237,-49.644885311724295,175901266074581014906286703750700439189,0.4482,140.0,292.0,300.0,452.0,3225600.0,
7,13,rc_0_0_0,True,-51.72429928196143,-115.43887234852933,-49.6427992740709,175901266074581014906286703750700439189,0.4482,140.0,292.0,300.0,452.0,3225600.0,strict maxima
8,14,rc_4_0_0,True,-51.324299281961444,-115.43887234852936,-49.642799274070896,333603934008353157987281808515937294467,0.4484,140.0,292.0,300.0,452.0,3225600.0,
8,15,rc_0_0_0,True,-51.318773764951416,-115.42552121349812,-49.647471931794776,333603934008353157987281808515937294467,0.4484,140.0,292.0,300.0,452.0,3225600.0,strict maxima
9,16,rc_-2_-2_2,True,-51.51877376495143,-115.62552121349819,-49.4474719317947,69165458961707092283020855984933169474,0.4485,140.0,292.0,300.0,452.0,3225600.0,
9,17,rc_0_0_0,True,-51.518032204719276,-115.6463191626749,-49.41371209355661,69165458961707092283020855984933169474,0.4485,140.0,292.0,300.0,452.0,3225600.0,strict maxima
10,18,rc_1_0_-1,True,-51.41803220471929,-115.64631916267484,-49.51371209355679,327001139901659010491915820377018358539,0.4486,140.0,292.0,300.0,452.0,3225600.0,
10,19,rc_0_0_0,True,-51.41839528453096,-115.60811867976501,-49.55812393563826,327001139901659010491915820377018358539,0.4486,140.0,292.0,300.0,452.0,3225600.0,strict maxima
