round,cycle,prefix,ok,chi_1(309),chi_2(309),psi(308),hash,CC,unexplained,overmodeled,dFo_voxels,dFc_voxels,ttl_voxels,reason
0,0,rc_0_0_0,True,59.23759772786697,-67.29907562922688,-28.658242992178167,328553393395519980265859721583776693512,,,,,,,dark
1,1,rc_1600_-400_64,True,-140.76240227213316,-107.29907562922673,-25.62896680105366,269282121028796322614455858352530578984,0.6921,132.0,212.0,448.0,528.0,3225600.0,
1,2,rc_0_0_0,True,-140.79085240347274,-107.25717940430653,-25.617624386272645,269282121028796322614455858352530578984,0.6921,132.0,212.0,448.0,528.0,3225600.0,strict maxima
2,3,rc_0_0_16,True,-140.7908524034728,-107.25717940430653,-24.84711544774809,160897603531580925341399287116107319895,0.7035,124.0,204.0,440.0,520.0,3225600.0,
2,4,rc_0_0_0,True,-140.8064095919326,-107.25919532522605,-24.877858535055058,160897603531580925341399287116107319895,0.7035,124.0,204.0,440.0,520.0,3225600.0,strict maxima
3,5,rc_0_100_0,True,-140.8064095919326,-97.25919532522605,-24.877858535055058,87146309823218750784450513156951604998,0.7045,116.0,216.0,440.0,540.0,3225600.0,
3,6,rc_0_0_0,True,-140.8064095919326,-97.26171163141609,-24.877858535055058,87146309823218750784450513156951604998,0.7045,116.0,216.0,440.0,540.0,3225600.0,strict maxima
4,7,rc_0_-100_-4,True,-140.8064095919326,-107.26171163141625,-25.071074642445407,263794881672786746925197931516452456703,0.7125,116.0,204.0,440.0,528.0,3225600.0,
4,8,rc_0_0_0,True,-140.76964057548616,-107.24194307735475,-25.08130269839381,263794881672786746925197931516452456703,0.7125,116.0,204.0,440.0,528.0,3225600.0,strict maxima
5,9,rc_-25_0_4,True,-143.26964057548625,-107.24194307735469,-24.888053614769333,254693156780612995676303877783536822511,0.7183,108.0,208.0,440.0,540.0,3225600.0,
5,10,rc_0_0_0,True,-143.29722035868193,-107.27848668780568,-24.877858535055058,254693156780612995676303877783536822511,0.7183,108.0,208.0,440.0,540.0,3225600.0,strict maxima
6,11,rc_0_24_1,True,-143.29722035868193,-104.87848668780563,-24.82949452824276,148951968670868717213411191361033705541,0.7195,108.0,204.0,440.0,536.0,3225600.0,
6,12,rc_0_0_0,True,-143.26077678621908,-104.85493149544014,-24.83992993353661,148951968670868717213411191361033705541,0.7195,108.0,204.0,440.0,536.0,3225600.0,strict maxima
7,13,rc_-6_-24_0,True,-143.8607767862191,-107.25493149544019,-24.83992993353661,259111919931297993910991301105897370216,0.7197,112.0,196.0,440.0,524.0,3225600.0,
7,14,rc_12_-24_-1,True,-142.67334443464466,-109.64289475156808,-24.88828426599,20095040841831952474496255567592552969,0.7198,108.0,204.0,440.0,536.0,3225600.0,
7,15,rc_0_0_0,True,-142.68086855954877,-109.66007744388178,-24.877858535055058,20095040841831952474496255567592552969,0.7198,108.0,204.0,440.0,536.0,3225600.0,strict maxima
8,16,rc_0_0_0,True,-142.68086855954877,-109.66007744388178,-24.877858535055058,20095040841831952474496255567592552969,0.7198,108.0,204.0,440.0,536.0,3225600.0,strict maxima
9,17,rc_-2_-3_0,True,-142.88086855954873,-109.96007744388172,-24.877858535055058,100323937292812396799818042425739139428,0.7199,108.0,204.0,440.0,536.0,3225600.0,
9,18,rc_0_0_0,True,-142.89754962617,-110.00884289345429,-24.877858535055058,100323937292812396799818042425739139428,0.7199,108.0,204.0,440.0,536.0,3225600.0,plateau
