round,cycle,prefix,ok,chi_1(395),chi_2(395),hash,CC,unexplained,overmodeled,dFo_voxels,dFc_voxels,ttl_voxels,reason
0,0,rc_0_0,True,-163.2194179540637,10.64373599373351,328553393395519980265859721583776693512,,,,,,,dark
1,1,rc_120_720,True,-151.2194179540637,82.64373599373344,31990319464391857058618749395363750694,0.7961,76.0,116.0,336.0,376.0,3225600.0,
1,2,rc_0_0,True,-151.23944564727316,82.66314019801347,31990319464391857058618749395363750694,0.7961,76.0,116.0,336.0,376.0,3225600.0,strict maxima
2,3,rc_0_0,True,-151.23944564727316,82.66314019801347,31990319464391857058618749395363750694,0.7961,76.0,116.0,336.0,376.0,3225600.0,strict maxima
3,4,rc_0_-30,True,-151.23944564727316,79.66314019801348,293829618436484947220434597161129389776,0.8012,72.0,104.0,336.0,368.0,3225600.0,
3,5,rc_0_0,True,-151.23944564727316,79.65804374349348,293829618436484947220434597161129389776,0.8012,72.0,104.0,336.0,368.0,3225600.0,strict maxima
4,6,rc_15_30,True,-149.73944564727316,82.65804374349345,61735992799798864077583497034337520025,0.8089,72.0,96.0,336.0,360.0,3225600.0,
4,7,rc_0_0,True,-149.74954780848032,82.65343284599689,61735992799798864077583497034337520025,0.8089,72.0,96.0,336.0,360.0,3225600.0,strict maxima
5,8,rc_0_0,True,-149.74954780848032,82.65343284599689,61735992799798864077583497034337520025,0.8089,72.0,96.0,336.0,360.0,3225600.0,strict maxima
6,9,rc_3_-3,True,-149.44954780848036,82.35343284599699,254914541393885938257604681180335567286,0.8092,72.0,96.0,336.0,360.0,3225600.0,
6,10,rc_0_9,True,-149.46578077076828,83.23172604017581,187690621208361501671676186842739875065,0.8093,72.0,96.0,336.0,360.0,3225600.0,
6,11,rc_0_0,True,-149.46578077076828,83.21932993402653,187690621208361501671676186842739875065,0.8093,72.0,96.0,336.0,360.0,3225600.0,plateau
7,12,rc_1_0,True,-149.36578077076823,83.21932993402645,294985113850032042581448744227438402631,0.8095,72.0,96.0,336.0,360.0,3225600.0,
7,13,rc_0_0,True,-149.37379587912804,83.19753337706543,294985113850032042581448744227438402631,0.8095,72.0,96.0,336.0,360.0,3225600.0,strict maxima
